game_id,possession_id,wall_clock_ts,entry_price,exit_price,exit_reason,entry_side,hold_time_s,gross_pnl,net_pnl,run_prob,traj_final,traj_used,traj_aggregator,hazard_final,quarter,score_diff,run_length,fees,entry_tick_age_s
0042500164,141,2026-04-26 02:42:35.933333+00:00,41.0,44.0,stop_loss,-1,2.245873,-3.0,-302.16,0.1652780920267105,-0.11281782388687134,-0.09345006495714188,mean,0.9980728626251221,3,4,6,2.16,0.753832
0042500164,146,2026-04-26 02:46:56.388889+00:00,55.0,58.0,stop_loss,-1,105.790236,-3.0,-302.15,0.310930997133255,-0.10806814581155777,-0.09239399880170822,mean,0.9894785284996033,4,4,7,2.15,0.209737
0042500166,127,2026-05-01 03:20:28.250000+00:00,39.0,42.0,stop_loss,-1,27.766699,-3.0,-302.13,0.17067483067512512,-0.13274209201335907,-0.11082958504557609,mean,0.9970024228096008,3,0,3,2.13,2.23247
0042500166,182,2026-05-01 04:06:08.138889+00:00,61.0,56.0,take_profit,-1,7.8780090000000005,5.0,499.14,0.24890191853046417,-0.12606345117092133,-0.10735694766044616,mean,0.9997130036354065,4,6,2,0.86,0.121883
0042500171,8,2026-04-19 00:55:06.833333+00:00,49.0,53.0,stop_loss,-1,36.246388,-4.0,-402.19,0.20292137563228607,-0.09711982309818268,-0.08115600645542145,mean,0.9931910634040833,1,2,2,2.19,0.751718
0042500171,99,2026-04-19 02:15:07.500000+00:00,58.0,55.0,momentum_flip,-1,158.581546,3.0,297.83,0.15254470705986023,-0.12332098186016083,-0.10259669795632362,mean,0.9979606866836548,3,3,2,2.17,0.41808
0042500173,15,2026-04-25 00:21:52.250000+00:00,61.0,59.0,momentum_flip,-1,15.851362,2.0,197.88,0.22246436774730682,-0.1696009784936905,-0.1416105657815933,mean,0.990688681602478,1,-2,2,2.12,0.149539
0042500173,124,2026-04-25 01:46:05.666667+00:00,39.0,42.0,stop_loss,-1,24.434074,-3.0,-302.13,0.19183219969272614,-0.12343855947256088,-0.10284146517515183,mean,0.9945310950279236,3,-4,2,2.13,0.566458
0042500173,165,2026-04-25 02:17:31+00:00,42.0,42.0,momentum_flip,-1,133.100439,-0.0,-2.14,0.2910892069339752,-0.09978080540895462,-0.08441415205597877,mean,0.9905999302864075,4,-2,3,2.14,0.898808
0042500173,193,2026-04-25 02:40:37.450000+00:00,41.0,36.0,take_profit,-1,0.650216,5.0,499.16,0.181922048330307,-0.1990736722946167,-0.16782609969377518,mean,0.9959676265716553,4,3,2,0.84,0.349698
0042500201,6,2026-05-05 23:16:41.500000+00:00,62.0,61.0,momentum_flip,-1,24.600482,1.0,97.91,0.17948327958583832,-0.18969261646270752,-0.16053341180086136,mean,0.9939411878585815,1,0,2,2.09,0.400182
0042500201,21,2026-05-05 23:25:21.250000+00:00,70.0,73.0,stop_loss,-1,15.849612,-3.0,-301.75,0.21776044368743896,-0.10433495044708252,-0.08689185976982117,mean,0.9949605464935303,1,4,2,1.75,0.150332
0042500201,133,2026-05-06 00:54:33.333333+00:00,69.0,70.0,momentum_flip,-1,68.766493,-1.0,-101.86,0.17334651947021484,-0.1593630462884903,-0.13391265794634818,mean,0.9986956715583801,3,4,2,1.8599999999999999,0.233849
