player_id,player_name,star_tier,team_tricode,team_id
1629632,White,2,CHI,5.0
1641763,Phillips,5,MIN,18.0
1630700,Daniels,5,ATL,1.0
1629008,Porter Jr.,2,BKN,3.0
1641710,Black,5,ORL,22.0
1629631,Hunter,5,CLE,6.0
1631131,Tshiebwe,5,UTA,29.0
1641765,Prosper,5,MEM,15.0
1641722,Hawkins,5,NOP,19.0
1629023,Washington,5,DAL,7.0
1631124,Strawther,5,DEN,8.0
1626157,Towns,2,NYK,20.0
1642885,Diawara,5,NYK,20.0
1631096,Holmgren,2,OKC,21.0
1631108,Christie,5,DAL,7.0
1628379,Kennard,5,ATL,1.0
1642264,Castle,5,SAS,27.0
1641787,Evbuomwan,5,BKN,3.0
201144,Conley,4,MIN,18.0
1628969,Bridges,3,NYK,20.0
1641854,Porter Jr.,4,CLE,6.0
1630598,Wiggins,4,OKC,21.0
1629655,Gafford,4,DAL,7.0
1630183,McDaniels,3,MIN,18.0
1642276,Ware,5,MIA,16.0
1642268,Collier,5,UTA,29.0
203507,G. Antetokounmpo,1,MIL,17.0
1630224,Green,2,PHX,24.0
1630553,K. Johnson,5,BKN,3.0
1627749,Murray,4,NOP,19.0
1631105,Duren,2,DET,9.0
1630560,Thomas,5,MIL,17.0
1627739,Dunn,5,LAC,13.0
1628378,Mitchell,2,CLE,6.0
1642272,McCain,5,PHI,23.0
1629659,Horton-Tucker,5,CHI,5.0
1629626,Bol,5,PHX,24.0
1630322,Waters III,5,SAS,27.0
1641780,Broome,5,PHI,23.0
1631095,Smith Jr.,4,HOU,11.0
1642348,Edwards,5,PHI,23.0
1630208,Richards,5,PHX,24.0
1629026,K. Williams,5,OKC,21.0
1629014,Simons,2,BOS,2.0
202709,Joseph,5,ORL,22.0
1628963,Bagley III,5,WAS,30.0
1642262,Williams,5,UTA,29.0
1629001,Melton,5,GSW,10.0
1630703,Henderson,5,POR,25.0
1641779,Bridges,5,PHX,24.0
1630679,Thompson,4,IND,12.0
1631221,Gillespie,5,PHX,24.0
1630537,Duarte,5,CHI,5.0
1631243,Gueye,5,ATL,1.0
1641750,Kalkbrenner,5,CHA,4.0
1631255,Matkovic,5,NOP,19.0
1629048,Bitadze,5,ORL,22.0
202704,Jackson,5,PHI,23.0
1642848,Johnson,4,WAS,30.0
1628371,Isaac,5,ORL,22.0
202684,Thompson,4,CLE,6.0
203939,Powell,5,DAL,7.0
1629634,Clarke,5,MEM,15.0
1642364,Watkins,5,WAS,30.0
1643024,Manon,5,LAL,14.0
1641748,Jackson Jr.,5,MIL,17.0
201959,Gibson,5,CHA,4.0
1642355,B. James,5,LAL,14.0
203458,Len,5,LAL,14.0
1628365,Fultz,5,SAC,26.0
1631098,Davis,5,WAS,30.0
